mode,time_bin_s,backlog_mbit,backlog_mbit_smooth
MR,20.650000000000002,3575.2772446708077,3575.2734077927853
MR,20.75,3581.6393052075473,3581.635584849721
MR,20.85,3587.990204670808,3587.993925028634
MR,20.950000000000003,3594.352265207547,3594.342847792785
MR,21.05,3600.6860735,3600.699327792785
MR,21.150000000000002,3607.0596446708078,3607.0558077927853
MR,21.25,3613.4217052075473,3613.4179848497206
MR,21.35,3619.772604670807,3619.7763250286334
MR,21.450000000000003,3626.134665207547,3626.1252477927846
MR,21.55,3632.4684735,3632.481727792785
MR,21.650000000000002,3638.8420446708074,3638.838207792785
MR,21.75,3645.2041052075474,3645.2003848497206
MR,21.85,3651.5550046708076,3651.5587250286335
MR,21.950000000000003,3657.917065207547,3657.9076477927847
MR,22.05,3664.2508735,3664.264127792785
MR,22.150000000000002,3670.6244446708074,3670.620607792785
MR,22.25,3676.986505207547,3676.9827848497207
MR,22.35,3683.3374046708077,3683.3411250286335
MR,22.450000000000003,3689.699465207547,3689.6900477927848
MR,22.55,3696.0332735,3696.0465277927847
MR,22.650000000000002,3702.4068446708075,3702.403007792785
MR,22.75,3708.768905207547,3708.7651848497203
MR,22.85,3715.1198046708073,3715.1235250286336
MR,22.950000000000003,3721.4818652075473,3721.472447792785
MR,23.05,3727.8156735,3727.8289277927847
MR,23.150000000000002,3734.189244670807,3734.185407792784
MR,23.25,3740.5513052075466,3740.5475848497204
MR,23.35,3746.9022046708074,3746.9059250286336
MR,23.450000000000003,3753.2642652075474,3753.254847792785
MR,23.55,3759.5980735,3759.611327792785
MR,23.650000000000002,3765.9716446708076,3765.967807792785
MR,23.75,3772.3337052075476,3772.329984849721
MR,23.85,3778.6846046708074,3778.688325028634
MR,23.950000000000003,3785.0466652075474,3785.037247792785
MR,24.05,3791.3804735,3791.3937277927853
MR,24.150000000000002,3797.7540446708076,3797.7502077927843
MR,24.25,3804.116105207547,3804.112384849721
MR,24.35,3810.467004670808,3816.380062085238
MR,24.450000000000003,3834.5570763773585,3840.3365771827225
MR,24.55,3875.9856505000002,3876.072320669264
MR,24.650000000000002,3917.6742351304347,3917.633849306581
MR,24.75,3959.241662289308,3959.2377775167256
MR,24.85,4000.7974351304347,4000.801319903017
MR,24.950000000000003,4042.3648622893083,4042.318649306581
MR,25.05,4083.7936505,4083.8802493065814
MR,25.150000000000002,4125.482235130435,4125.441849306581
MR,25.25,4167.049662289309,4167.045777516726
MR,25.35,4208.605435130435,4208.609319903017
MR,25.450000000000003,4250.172862289308,4250.1266493065805
MR,25.55,4291.6016505,4291.645921096436
MR,25.650000000000002,4333.1632505,4333.1632505
MR,25.75,4374.724850500001,4374.767178710145
MR,25.85,4416.413435130435,4416.373049306581
MR,25.950000000000003,4457.980862289309,4457.934649306581
MR,26.05,4499.4096505,4499.453921096437
MR,26.150000000000002,4540.971250500001,4540.9712505
MR,26.25,4582.5328505,4582.575178710144
MR,26.35,4624.221435130435,4624.181012275135
MR,26.450000000000003,4665.788751194969,4665.742566275135
MR,26.55,4707.2175125,4707.26179206499
MR,26.650000000000002,4748.7791125,4748.7791125
MR,26.75,4790.340712499999,4790.38304099586
MR,26.85,4832.029297987578,4831.988911302987
MR,26.950000000000003,4873.596723421384,4873.550511302987
MR,27.05,4915.0255125,4915.069782807128
MR,27.150000000000002,4956.587112499999,4956.5871125
