figure,panel,scheduler,ue,time_s,rbg_share_pct
fig06,(a) RR,RR,2,12.75,11.112448550383007
fig06,(a) RR,RR,2,12.85,11.11199634243247
fig06,(a) RR,RR,2,12.95,11.113743372481387
fig06,(a) RR,RR,2,13.05,11.108206102793174
fig06,(a) RR,RR,2,13.15,11.11347095791094
fig06,(a) RR,RR,2,13.25,11.110326303822893
fig06,(a) RR,RR,2,13.35,11.115182912453085
fig06,(a) RR,RR,2,13.45,11.11089073104025
fig06,(a) RR,RR,2,13.55,11.11157528159003
fig06,(a) RR,RR,2,13.65,11.107761011132824
fig06,(a) RR,RR,2,13.75,11.11082655442621
fig06,(a) RR,RR,2,13.85,11.110412511754973
fig06,(a) RR,RR,2,13.95,11.116098600121726
fig06,(a) RR,RR,2,14.05,11.113749145918012
fig06,(a) RR,RR,2,14.15,11.112188523541809
fig06,(a) RR,RR,2,14.25,11.111498906417236
fig06,(a) RR,RR,2,14.35,11.110332186218704
fig06,(a) RR,RR,2,14.45,11.112306851266142
fig06,(a) RR,RR,2,14.55,11.11142414134669
fig06,(a) RR,RR,2,14.65,11.10969922560219
fig06,(a) RR,RR,2,14.75,11.110412299091545
fig06,(a) RR,RR,2,14.85,11.10950573214724
fig06,(a) RR,RR,2,14.95,11.112999792245075
fig06,(a) RR,RR,2,15.05,11.110816004683928
fig06,(a) RR,RR,2,15.15,11.1110775143794
fig06,(a) RR,RR,2,15.25,11.1110775143794
fig06,(a) RR,RR,2,15.35,11.110970114991147
fig06,(a) RR,RR,2,15.45,11.11131568137445
fig06,(a) RR,RR,2,15.55,11.11182951374178
fig06,(a) RR,RR,2,15.65,11.113136458410098
fig06,(a) RR,RR,2,15.75,11.11064070119736
fig06,(a) RR,RR,2,15.85,11.10828788983117
fig06,(a) RR,RR,2,15.95,11.10978596447958
fig06,(a) RR,RR,2,16.05,11.111841293948894
fig06,(a) RR,RR,2,16.150000000000002,11.113158771440617
fig06,(a) RR,RR,2,16.25,11.11132642582882
fig06,(a) RR,RR,2,16.35,11.109784928726834
fig06,(a) RR,RR,2,16.45,11.110306430233974
fig06,(a) RR,RR,2,16.55,11.11162494347844
fig06,(a) RR,RR,2,16.650000000000002,11.109272132112253
fig06,(a) RR,RR,2,16.75,11.112448550383007
fig06,(a) RR,RR,2,16.85,11.109328853867089
fig06,(a) RR,RR,2,16.95,11.110708088116231
fig06,(a) RR,RR,2,17.05,11.108123883421378
fig06,(a) RR,RR,2,17.150000000000002,11.111942391956866
fig06,(a) RR,RR,2,17.25,11.11100451266745
fig06,(a) RR,RR,2,17.35,11.111004512667447
fig06,(a) RR,RR,2,17.45,11.10917858448729
fig06,(a) RR,RR,2,17.55,11.114748220583538
fig06,(a) RR,RR,2,17.650000000000002,11.113634505500494
fig06,(a) RR,RR,2,17.75,11.114761621661088
fig06,(a) RR,RR,2,17.85,11.108820465250638
fig06,(a) RR,RR,2,17.95,11.108628893268424
fig06,(a) RR,RR,2,18.05,11.108107391761283
fig06,(a) RR,RR,2,18.15,11.11083381285375
fig06,(a) RR,RR,2,18.25,11.111087141593387
fig06,(a) RR,RR,2,18.35,11.11160864310053
fig06,(a) RR,RR,2,18.45,11.112862796803062
fig06,(a) RR,RR,2,18.55,11.112195425392189
fig06,(a) RR,RR,2,18.65,11.110797801353051
fig06,(a) RR,RR,2,18.75,11.111450354598134
fig06,(a) RR,RR,2,18.85,11.1084668118201
fig06,(a) RR,RR,2,18.95,11.11272841954598
fig06,(a) RR,RR,2,19.05,11.110821712598366
fig06,(a) RR,RR,2,19.15,11.114410870029852
fig06,(a) RR,RR,2,19.25,11.109550280572911
fig06,(a) RR,RR,2,19.35,11.107465887673191
fig06,(a) RR,RR,2,19.450000000000003,11.108579602756231
fig06,(a) RR,RR,2,19.55,11.111090040893751
fig06,(a) RR,RR,2,19.65,11.113736313618618
fig06,(a) RR,RR,2,19.75,11.112541675887917
fig06,(a) RR,RR,2,19.85,11.112027843520588
fig06,(a) RR,RR,2,19.950000000000003,11.111100900532216
fig06,(a) RR,RR,2,20.05,11.111100900532216
fig06,(a) RR,RR,2,20.15,11.110579399025076
fig06,(a) RR,RR,2,20.25,11.108398976313794
fig06,(a) RR,RR,2,20.35,11.109515232835925
