figure,panel,scheduler,time_s,value
fig05,(a) Effective number of UEs.,PF,10.45,8.776372020283278
fig05,(a) Effective number of UEs.,PF,10.55,8.859660132459766
fig05,(a) Effective number of UEs.,PF,10.65,8.790132764086062
fig05,(a) Effective number of UEs.,PF,10.75,8.799700537408937
fig05,(a) Effective number of UEs.,PF,10.85,8.722924250246882
fig05,(a) Effective number of UEs.,PF,10.95,8.769420628717803
fig05,(a) Effective number of UEs.,PF,11.05,8.741512761120445
fig05,(a) Effective number of UEs.,PF,11.15,8.8565556496412
fig05,(a) Effective number of UEs.,PF,11.25,8.852397458425228
fig05,(a) Effective number of UEs.,PF,11.35,8.874219171098874
fig05,(a) Effective number of UEs.,PF,11.45,8.885872622583227
fig05,(a) Effective number of UEs.,PF,11.55,8.823822671277924
fig05,(a) Effective number of UEs.,PF,11.65,8.837012730598284
fig05,(a) Effective number of UEs.,PF,11.75,8.726087527099963
fig05,(a) Effective number of UEs.,PF,11.85,8.75971038123742
fig05,(a) Effective number of UEs.,PF,11.95,8.684375052044723
fig05,(a) Effective number of UEs.,PF,12.05,8.741350200339205
fig05,(a) Effective number of UEs.,PF,12.15,8.720692345445237
fig05,(a) Effective number of UEs.,PF,12.25,8.756604785661427
fig05,(a) Effective number of UEs.,PF,12.35,8.76256795281083
fig05,(a) Effective number of UEs.,PF,12.45,8.786261202247795
fig05,(a) Effective number of UEs.,PF,12.55,8.725393094503263
fig05,(a) Effective number of UEs.,PF,12.65,8.58711206388255
fig05,(a) Effective number of UEs.,PF,12.75,8.561044630549892
